"","X","Round","Cycle","MouseID","Gender","Donor","ASD_diagnosis","OFT_Distance","OFT_velocity","OFT_LrgCntr_freq","OFT_LrgCntr_duration","OFT_LrgCntr_latency","OFT_SmlCntr_freq","OFT_SmlCntr_duration","OFT_SmlCntr_latency","OFT_Movement","MB_visible","MB_buried","MB_percentBuried","DSI_Agrsn_freq","DSI_Agrsn_duration","DSI_Social_freq","DSI_Social_duration","DSI_Groom_freq","DSI_Groom_Duration","SI_Habit_Social","SI_Habit_Cntr","SI_Habit_NonSocial","SI_Sociability_Social","SI_Sociability_Cntr","SI_Sociability_NonSocial","Unnamed..30","Unnamed..31","Unnamed..32","USV_freq","USV_Duration","DSI_USV_median","DSI_USV_StdDev","DSI_USV_Freq","DSI_USV_Duration","DSI_USV_Slbl_num","DSI_USV_Slbl_Duration","DSI_USV_Slbl_Gap_Length","DSI_USV_Slbl_Bout_freq","DSI_USV_Slbl_Bout_gap","DSI_USV_Slbl_SlblPerBout","Unnamed..45","SI_index"
"1",0,1,1,1,"Female","C1","NT",2763.6,5.08254,113,141.141,0,63,187.921,0.8008,49.2161,17,3,15,NA,NA,NA,NA,NA,NA,176.777,174.708,174.708,326.126,102.369,145.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1328661248405
"2",1,1,1,2,"Female","C1","NT",2574.93,4.59349,89,103.704,16.2829,56,191.124,17.1505,47.3479,12,8,40,NA,NA,NA,NA,NA,NA,175.309,201.401,178.378,245.379,99.6997,230.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54912711917817
"3",2,1,1,3,"Female","C1","NT",1600.45,2.86944,32,103.437,25.4254,9,25.1585,48.9823,33.4594,19,1,5,NA,NA,NA,NA,NA,NA,268.936,162.963,147.948,285.085,78.7454,209.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.64405199763021
"4",3,1,1,4,"Female","C1","NT",1698.48,3.02565,33,28.295,18.285,6,13.7471,125.192,32.3807,17,3,15,NA,NA,NA,NA,NA,NA,327.661,167.968,90.8909,324.191,89.5562,149.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5093415777873
"5",4,1,1,5,"Male","C1","NT",3192.95,5.46753,85,67.9346,13.013,40,72.8729,18.7521,58.6234,18,2,10,NA,NA,NA,NA,NA,NA,217.551,162.095,146.813,257.124,111.645,162.029,NA,NA,NA,32,0.1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3437098147932
"6",5,1,1,6,"Male","C1","NT",4330.52,7.54568,130,86.6867,0.467133,54,68.7354,0.867534,67.4969,14,6,30,NA,NA,NA,NA,NA,NA,162.496,188.522,213.547,264.598,111.044,200.4,NA,NA,NA,737,9.2857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9030404431847
"7",6,1,1,7,"Male","C1","NT",4046.53,7.18536,107,90.0234,10.4104,44,44.3777,10.6106,63.3381,16,4,20,NA,NA,NA,NA,NA,NA,160.427,200.934,190.724,283.417,113.447,176.51,NA,NA,NA,1014,23.3664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6221704748797
"8",7,1,1,8,"Male","C1","NT",4007.3,6.94855,108,99.2993,6.74007,39,48.9156,7.14047,65.3397,18,2,10,NA,NA,NA,NA,NA,NA,200.4,212.012,166.834,251.585,103.437,216.416,NA,NA,NA,517,17.8983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75736376631674
"9",8,1,1,9,"Female","C1","NT",3403.8,6.14677,66,74.7414,10.5439,26,27.6944,10.8775,57.7338,11,9,45,NA,NA,NA,NA,NA,NA,194.328,183.116,186.453,242.709,93.627,221.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2782296279703
"10",20,1,1,22,"Male","A24-new","ASD",3491.77,6.09767,80,94.5612,0.2002,42,57.1238,0.4004,58.123,13,7,35,NA,NA,NA,NA,NA,NA,235.102,214.348,134.334,300.767,81.2813,205.138,NA,NA,NA,574,4.9328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.45128037872723
